page,source_file,image_path,project_or_video_id,classification,previous_alt,revised_alt,previous_char_count,revised_char_count,first_200_revised,grounding_sources_used,duplicate_wording_removed,owner_review_flag,notes
https://www.sdhardwoods.com/,build/data/index/gallery.json,/SOLID MAPLE ROSECRASN12.jpg,,other,"Four-inch solid maple flooring restored in a Point Loma great room overlooking downtown San Diego and San Diego Bay after de-waxing, dust-contained sanding, creamy color treatment and matte water-based finishing. Four-inch solid maple flooring restored in a Point Loma residence, with the great-room windows framing the marina, downtown skyline and San Diego Bay. Heavy sun fading, wax, polish, scratches and wear were removed before the floor received a modern creamy tone and an extra-durable matte water-based finish.","Four-inch solid maple flooring restored in a Point Loma residence, with the great-room windows framing the marina, downtown skyline and San Diego Bay. Heavy sun fading, wax, polish, scratches and wear were removed before the floor received a modern creamy tone and an extra-durable matte water-based finish.",520,307,"Four-inch solid maple flooring restored in a Point Loma residence, with the great-room windows framing the marina, downtown skyline and San Diego Bay. Heavy sun fading, wax, polish, scratches and wear",build/data/index/gallery.json,yes,no,"Homepage: merged each image's short base sentence with its already-authoritative, reviewer-refined caption (Milestone 2.7), removing the redundant restatement. 4 Bing Crosby Ranch photos (no caption) hand-recomposed to drop internal verification metadata from the alt text."
https://www.sdhardwoods.com/,build/data/index/gallery.json,/SOLID MAPLE ROSECRASN14.jpg,,other,"Finished creamy-tone solid maple hardwood floor in Point Loma viewed from the staircase after precision planetary sanding, gap repair and matte commercial-grade water-based polyurethane. Another completed view of the Point Loma maple project, seen from the staircase with the terrace doors open to the bay. Precision sanding and planetary refinement produced a flat surface, while the selected creamy tone and matte commercial-grade finish gave the decades-old floor a clean modern appearance.","Another completed view of the Point Loma maple project, seen from the staircase with the terrace doors open to the bay. Precision sanding and planetary refinement produced a flat surface, while the selected creamy tone and matte commercial-grade finish gave the decades-old floor a clean modern appearance.",493,306,"Another completed view of the Point Loma maple project, seen from the staircase with the terrace doors open to the bay. Precision sanding and planetary refinement produced a flat surface, while the se",build/data/index/gallery.json,yes,no,"Homepage: merged each image's short base sentence with its already-authoritative, reviewer-refined caption (Milestone 2.7), removing the redundant restatement. 4 Bing Crosby Ranch photos (no caption) hand-recomposed to drop internal verification metadata from the alt text."
https://www.sdhardwoods.com/,build/data/index/gallery.json,/SOLID MAPLE ROSECRASN1.jpg,,other,"Restored solid maple floor in a Point Loma ocean-view dining room with creamy color, flat planetary-sanded surface and ultra-durable matte water-based finish. Final view of the restored Point Loma solid maple flooring in the dining area with its mirrored wall and chandelier. The original floor was cleaned, decontaminated and sanded with full dust containment before receiving the homeowners' chosen creamy tone and a durable matte finish.","Final view of the restored Point Loma solid maple flooring in the dining area with its mirrored wall and chandelier. The original floor was cleaned, decontaminated and sanded with full dust containment before receiving the homeowners' chosen creamy tone and a durable matte finish.",440,281,"Final view of the restored Point Loma solid maple flooring in the dining area with its mirrored wall and chandelier. The original floor was cleaned, decontaminated and sanded with full dust containmen",build/data/index/gallery.json,yes,no,"Homepage: merged each image's short base sentence with its already-authoritative, reviewer-refined caption (Milestone 2.7), removing the redundant restatement. 4 Bing Crosby Ranch photos (no caption) hand-recomposed to drop internal verification metadata from the alt text."
https://www.sdhardwoods.com/,build/data/index/gallery.json,/KIM BIRD ROCK WHITE OAK88.jpg,,other,"Restored three-inch rift-and-quartered select white oak flooring in Bird Rock after dust-contained sanding, clear sealing and satin commercial-grade water-based finishing. Vintage Graf Brothers rift-and-quartered white oak restored in a coastal Bird Rock home. The floors and stairs were sanded with double-HEPA dust containment, sealed clear to preserve the natural white-oak color and protected with a commercial-grade satin water-based finish.","Vintage Graf Brothers rift-and-quartered white oak restored in a coastal Bird Rock home. The floors and stairs were sanded with double-HEPA dust containment, sealed clear to preserve the natural white-oak color and protected with a commercial-grade satin water-based finish.",446,274,"Vintage Graf Brothers rift-and-quartered white oak restored in a coastal Bird Rock home. The floors and stairs were sanded with double-HEPA dust containment, sealed clear to preserve the natural white",build/data/index/gallery.json,yes,yes,"Homepage: merged each image's short base sentence with its already-authoritative, reviewer-refined caption (Milestone 2.7), removing the redundant restatement. 4 Bing Crosby Ranch photos (no caption) hand-recomposed to drop internal verification metadata from the alt text. 'Graf Brothers' here vs. 'Graff Brothers' in Solid & Engineered's Project 1 data -- brand-spelling conflict, unresolved."
https://www.sdhardwoods.com/,build/data/index/gallery.json,/SOLID HICKORY RANDY87.jpg,,other,"Restored random-width wide-plank character hickory flooring in a Carmel Valley hallway after water damage, cupping, heavy ambering and wear were removed with dust-contained sanding and matte Bona finishing. Wide-plank character hickory restored in a Carmel Valley home, seen along the hallway beneath the wrought-iron chandelier. After cupping, water damage, scratches, fading and heavy ambering, the floor was sanded flat, clear sealed and finished with a matte Bona water-based polyurethane.","Wide-plank character hickory restored in a Carmel Valley home, seen along the hallway beneath the wrought-iron chandelier. After cupping, water damage, scratches, fading and heavy ambering, the floor was sanded flat, clear sealed and finished with a matte Bona water-based polyurethane.",493,286,"Wide-plank character hickory restored in a Carmel Valley home, seen along the hallway beneath the wrought-iron chandelier. After cupping, water damage, scratches, fading and heavy ambering, the floor ",build/data/index/gallery.json,yes,no,"Homepage: merged each image's short base sentence with its already-authoritative, reviewer-refined caption (Milestone 2.7), removing the redundant restatement. 4 Bing Crosby Ranch photos (no caption) hand-recomposed to drop internal verification metadata from the alt text."
https://www.sdhardwoods.com/,build/data/index/gallery.json,/SOLID HICKORY RANDY73.jpg,,other,"Completed Carmel Valley character hickory restoration in the great room, with random-width planks, clear Bona sealer and matte water-based polyurethane after cupping and water damage. A second completed view of the Carmel Valley hickory project in the great room with its stone fireplace and French doors, showing the natural variation of the random-width character planks after precision sanding, clear sealing and matte Bona protection.","A second completed view of the Carmel Valley hickory project in the great room with its stone fireplace and French doors, showing the natural variation of the random-width character planks after precision sanding, clear sealing and matte Bona protection.",438,254,"A second completed view of the Carmel Valley hickory project in the great room with its stone fireplace and French doors, showing the natural variation of the random-width character planks after preci",build/data/index/gallery.json,yes,no,"Homepage: merged each image's short base sentence with its already-authoritative, reviewer-refined caption (Milestone 2.7), removing the redundant restatement. 4 Bing Crosby Ranch photos (no caption) hand-recomposed to drop internal verification metadata from the alt text."
https://www.sdhardwoods.com/,build/data/index/gallery.json,assets/images/20200804_171315.230211048.jpg,,other,"Five-inch maple flooring in Del Mar restored with gap filling, white stain and white-tinted Bona Traffic HD Raw in an ultra-low sheen, seen from the front entry with the ocean beyond. Five-inch maple flooring transformed in a Del Mar ocean-view home, seen from the front entry beneath the vaulted plank ceiling with the glass stair rail at right and the ocean beyond the sliders. After sanding to raw wood and filling gaps and cracks, the floor received a white stain and white-tinted Bona Traffic HD Raw for a soft, ultra-low-sheen finish.","Five-inch maple flooring transformed in a Del Mar ocean-view home, seen from the front entry beneath the vaulted plank ceiling with the glass stair rail at right and the ocean beyond the sliders. After sanding to raw wood and filling gaps and cracks, the floor received a white stain and white-tinted Bona Traffic HD Raw for a soft, ultra-low-sheen finish.",540,356,"Five-inch maple flooring transformed in a Del Mar ocean-view home, seen from the front entry beneath the vaulted plank ceiling with the glass stair rail at right and the ocean beyond the sliders. Afte",build/data/index/gallery.json,yes,no,"Homepage: merged each image's short base sentence with its already-authoritative, reviewer-refined caption (Milestone 2.7), removing the redundant restatement. 4 Bing Crosby Ranch photos (no caption) hand-recomposed to drop internal verification metadata from the alt text."
https://www.sdhardwoods.com/,build/data/index/gallery.json,assets/images/20161022_093802.30133308.jpg,,other,"Solid ash flooring installed at 45 degrees in a Del Mar ocean-view home after de-waxing, dust-contained sanding and clear natural finishing. Solid ash flooring overlooking Torrey Pines Beach restored after years of wax, polish, sun, water and coastal exposure. The 45-degree floor was cleaned, sanded flat and finished clear so the natural ash grain remained the focus.","Solid ash flooring overlooking Torrey Pines Beach restored after years of wax, polish, sun, water and coastal exposure. The 45-degree floor was cleaned, sanded flat and finished clear so the natural ash grain remained the focus.",369,228,"Solid ash flooring overlooking Torrey Pines Beach restored after years of wax, polish, sun, water and coastal exposure. The 45-degree floor was cleaned, sanded flat and finished clear so the natural a",build/data/index/gallery.json,yes,no,"Homepage: merged each image's short base sentence with its already-authoritative, reviewer-refined caption (Milestone 2.7), removing the redundant restatement. 4 Bing Crosby Ranch photos (no caption) hand-recomposed to drop internal verification metadata from the alt text."
https://www.sdhardwoods.com/,build/data/index/gallery.json,assets/images/20170730_114017.18155029_std.jpg,,other,"Engineered red oak flooring restored across two levels with a custom stain that highlights the grain and a matte Bona Traffic water-based finish. Engineered red oak restored throughout a split-level residence. A custom stain was selected to emphasize the red-oak grain, followed by a durable matte Bona Traffic finish.","Engineered red oak restored throughout a split-level residence. A custom stain was selected to emphasize the red-oak grain, followed by a durable matte Bona Traffic finish.",318,172,"Engineered red oak restored throughout a split-level residence. A custom stain was selected to emphasize the red-oak grain, followed by a durable matte Bona Traffic finish.",build/data/index/gallery.json,yes,no,"Homepage: merged each image's short base sentence with its already-authoritative, reviewer-refined caption (Milestone 2.7), removing the redundant restatement. 4 Bing Crosby Ranch photos (no caption) hand-recomposed to drop internal verification metadata from the alt text."
https://www.sdhardwoods.com/,build/data/index/gallery.json,assets/images/20150807_123330.18155238_std.jpg,,other,"Red oak flooring in the Carmel Valley–Del Mar area with new boards installed to match, then sanded together and finished in a custom provincial stain. New red oak flooring was installed to match the existing floor in this Carmel Valley–Del Mar home. The entire surface was then sanded, stained in a custom provincial tone and finished together for a consistent result.","New red oak flooring was installed to match the existing floor in this Carmel Valley–Del Mar home. The entire surface was then sanded, stained in a custom provincial tone and finished together for a consistent result.",368,217,"New red oak flooring was installed to match the existing floor in this Carmel Valley–Del Mar home. The entire surface was then sanded, stained in a custom provincial tone and finished together for a c",build/data/index/gallery.json,yes,no,"Homepage: merged each image's short base sentence with its already-authoritative, reviewer-refined caption (Milestone 2.7), removing the redundant restatement. 4 Bing Crosby Ranch photos (no caption) hand-recomposed to drop internal verification metadata from the alt text."
https://www.sdhardwoods.com/,build/data/index/gallery.json,assets/images/20141113_181551.18155353_std.jpg,,other,"Wet final finish coat drying on natural 2¼-inch vintage red oak flooring in a large Rancho Santa Fe entryway. The final coat is still wet on this expansive Rancho Santa Fe entryway. Vintage 2¼-inch red oak, likely dating to the 1960s, was restored in a natural color and protected with a fresh finish.","The final coat is still wet on this expansive Rancho Santa Fe entryway. Vintage 2¼-inch red oak, likely dating to the 1960s, was restored in a natural color and protected with a fresh finish.",301,191,"The final coat is still wet on this expansive Rancho Santa Fe entryway. Vintage 2¼-inch red oak, likely dating to the 1960s, was restored in a natural color and protected with a fresh finish.",build/data/index/gallery.json,yes,no,"Homepage: merged each image's short base sentence with its already-authoritative, reviewer-refined caption (Milestone 2.7), removing the redundant restatement. 4 Bing Crosby Ranch photos (no caption) hand-recomposed to drop internal verification metadata from the alt text."
https://www.sdhardwoods.com/,build/data/index/gallery.json,/SCOTT CORONADO34.jpg,,other,Wet final finish reflecting custom lighting on restored engineered Brazilian cherry flooring in a First Avenue Coronado bayfront home. The final finish coat is still wet on the engineered Brazilian cherry floor in this First Avenue Coronado residence overlooking San Diego Bay. Reflections from the custom lighting and millwork show the freshly restored surface.,The final finish coat is still wet on the engineered Brazilian cherry floor in this First Avenue Coronado residence overlooking San Diego Bay. Reflections from the custom lighting and millwork show the freshly restored surface.,362,227,The final finish coat is still wet on the engineered Brazilian cherry floor in this First Avenue Coronado residence overlooking San Diego Bay. Reflections from the custom lighting and millwork show th,build/data/index/gallery.json,yes,no,"Homepage: merged each image's short base sentence with its already-authoritative, reviewer-refined caption (Milestone 2.7), removing the redundant restatement. 4 Bing Crosby Ranch photos (no caption) hand-recomposed to drop internal verification metadata from the alt text."
https://www.sdhardwoods.com/,build/data/index/gallery.json,assets/images/20180516_100220.189141626_std.jpg,,other,"Traditional North Park white oak flooring restored to a natural color with oil sealer and a residential water-based finish. Traditional white oak flooring restored in a North Park home. The floor was returned to a natural color, sealed with an oil sealer and protected with a residential-grade water-based finish.","Traditional white oak flooring restored in a North Park home. The floor was returned to a natural color, sealed with an oil sealer and protected with a residential-grade water-based finish.",313,189,"Traditional white oak flooring restored in a North Park home. The floor was returned to a natural color, sealed with an oil sealer and protected with a residential-grade water-based finish.",build/data/index/gallery.json,yes,no,"Homepage: merged each image's short base sentence with its already-authoritative, reviewer-refined caption (Milestone 2.7), removing the redundant restatement. 4 Bing Crosby Ranch photos (no caption) hand-recomposed to drop internal verification metadata from the alt text."
https://www.sdhardwoods.com/,build/data/index/gallery.json,assets/images/20180706_101701.189141654_std.jpg,,other,"Engineered red oak flooring in the Encinitas–Carlsbad area with a new room installed, matched and finished clear for a muted natural appearance. New engineered red oak was installed in one room and matched to the existing floor in this Encinitas–Carlsbad home. Clear sealer and clear finish preserved a restrained, natural red-oak appearance.","New engineered red oak was installed in one room and matched to the existing floor in this Encinitas–Carlsbad home. Clear sealer and clear finish preserved a restrained, natural red-oak appearance.",342,197,"New engineered red oak was installed in one room and matched to the existing floor in this Encinitas–Carlsbad home. Clear sealer and clear finish preserved a restrained, natural red-oak appearance.",build/data/index/gallery.json,yes,no,"Homepage: merged each image's short base sentence with its already-authoritative, reviewer-refined caption (Milestone 2.7), removing the redundant restatement. 4 Bing Crosby Ranch photos (no caption) hand-recomposed to drop internal verification metadata from the alt text."
https://www.sdhardwoods.com/,build/data/index/gallery.json,assets/images/20180505_111434.189144912_std.jpg,,other,"Vintage rift-and-quartered red oak flooring in Fairbanks Ranch transformed from dark stain to a custom creamy beige modern finish, seen in the hallway leading to the front-entry steps. Custom rift-and-quartered red oak restored in a Fairbanks Ranch residence, seen along the hallway leading up to the front-entry steps framed by the home's original dark millwork. The decades-old dark floor was transformed with a creamy beige treatment that retained the architectural grain while creating a lighter modern interior.","Custom rift-and-quartered red oak restored in a Fairbanks Ranch residence, seen along the hallway leading up to the front-entry steps framed by the home's original dark millwork. The decades-old dark floor was transformed with a creamy beige treatment that retained the architectural grain while creating a lighter modern interior.",516,331,"Custom rift-and-quartered red oak restored in a Fairbanks Ranch residence, seen along the hallway leading up to the front-entry steps framed by the home's original dark millwork. The decades-old dark ",build/data/index/gallery.json,yes,no,"Homepage: merged each image's short base sentence with its already-authoritative, reviewer-refined caption (Milestone 2.7), removing the redundant restatement. 4 Bing Crosby Ranch photos (no caption) hand-recomposed to drop internal verification metadata from the alt text."
https://www.sdhardwoods.com/,build/data/index/gallery.json,assets/images/20190426_161142.219214819_std.jpg,,other,"Twenty stain and sealer samples applied directly to a vintage Mission Hills white oak floor for homeowner color selection. Twenty color options were applied directly to this vintage Mission Hills white oak floor so the homeowners could compare natural, stained and toned finishes before making a final selection.","Twenty color options were applied directly to this vintage Mission Hills white oak floor so the homeowners could compare natural, stained and toned finishes before making a final selection.",312,189,"Twenty color options were applied directly to this vintage Mission Hills white oak floor so the homeowners could compare natural, stained and toned finishes before making a final selection.",build/data/index/gallery.json,yes,no,"Homepage: merged each image's short base sentence with its already-authoritative, reviewer-refined caption (Milestone 2.7), removing the redundant restatement. 4 Bing Crosby Ranch photos (no caption) hand-recomposed to drop internal verification metadata from the alt text."
https://www.sdhardwoods.com/,build/data/index/gallery.json,assets/images/20190320_185353.219215034_std.jpg,,other,Two-inch No. 1-grade red oak strip flooring being nailed down over tar paper during a hardwood-floor installation in Oceanside. Traditional two-inch No. 1-grade red oak strip flooring being installed in an Oceanside home. The boards are being nailed down over tar paper as part of the new hardwood-floor installation.,Traditional two-inch No. 1-grade red oak strip flooring being installed in an Oceanside home. The boards are being nailed down over tar paper as part of the new hardwood-floor installation.,317,189,Traditional two-inch No. 1-grade red oak strip flooring being installed in an Oceanside home. The boards are being nailed down over tar paper as part of the new hardwood-floor installation.,build/data/index/gallery.json,yes,no,"Homepage: merged each image's short base sentence with its already-authoritative, reviewer-refined caption (Milestone 2.7), removing the redundant restatement. 4 Bing Crosby Ranch photos (no caption) hand-recomposed to drop internal verification metadata from the alt text."
https://www.sdhardwoods.com/,build/data/index/gallery.json,assets/images/walnutafter.356120947_std.jpg,,other,Restored engineered walnut flooring high in the Omni Hotel in downtown San Diego with views of the Coronado Bridge and Hilton Bayfront. Engineered walnut flooring restored high above downtown San Diego in the Omni Hotel near the Gaslamp District. Sunlight through the windows highlights the renewed walnut floor with the Coronado Bridge and Hilton Bayfront beyond.,Engineered walnut flooring restored high above downtown San Diego in the Omni Hotel near the Gaslamp District. Sunlight through the windows highlights the renewed walnut floor with the Coronado Bridge and Hilton Bayfront beyond.,364,228,Engineered walnut flooring restored high above downtown San Diego in the Omni Hotel near the Gaslamp District. Sunlight through the windows highlights the renewed walnut floor with the Coronado Bridge,build/data/index/gallery.json,yes,no,"Homepage: merged each image's short base sentence with its already-authoritative, reviewer-refined caption (Milestone 2.7), removing the redundant restatement. 4 Bing Crosby Ranch photos (no caption) hand-recomposed to drop internal verification metadata from the alt text."
https://www.sdhardwoods.com/,build/data/index/gallery.json,assets/images/20200804_171746.8994114_std.jpg,,other,"Elevated view of five-inch white-stained maple flooring in Del Mar finished with white-tinted Bona Traffic HD Raw in an ultra-low sheen. A second completed view of the Del Mar five-inch maple project, seen from the upper stair looking down over the living room, fireplace and deck doors. White stain and white-tinted Bona Traffic HD Raw created a clean, modern floor with an ultra-low sheen that complements the ocean-view home.","A second completed view of the Del Mar five-inch maple project, seen from the upper stair looking down over the living room, fireplace and deck doors. White stain and white-tinted Bona Traffic HD Raw created a clean, modern floor with an ultra-low sheen that complements the ocean-view home.",428,291,"A second completed view of the Del Mar five-inch maple project, seen from the upper stair looking down over the living room, fireplace and deck doors. White stain and white-tinted Bona Traffic HD Raw ",build/data/index/gallery.json,yes,no,"Homepage: merged each image's short base sentence with its already-authoritative, reviewer-refined caption (Milestone 2.7), removing the redundant restatement. 4 Bing Crosby Ranch photos (no caption) hand-recomposed to drop internal verification metadata from the alt text."
https://www.sdhardwoods.com/,build/data/index/gallery.json,assets/images/20210212_083045.8995013_std.jpg,,other,Original Douglas fir flooring restored in a late-1800s Golden Hill apartment with dark Jacobean stain and commercial-grade finish. Original Douglas fir uncovered beneath carpet in a historic late-1800s Golden Hill apartment building. The vintage floor was restored with a dark Jacobean tone and a commercial-grade finish for durable rental use.,Original Douglas fir uncovered beneath carpet in a historic late-1800s Golden Hill apartment building. The vintage floor was restored with a dark Jacobean tone and a commercial-grade finish for durable rental use.,344,213,Original Douglas fir uncovered beneath carpet in a historic late-1800s Golden Hill apartment building. The vintage floor was restored with a dark Jacobean tone and a commercial-grade finish for durabl,build/data/index/gallery.json,yes,no,"Homepage: merged each image's short base sentence with its already-authoritative, reviewer-refined caption (Milestone 2.7), removing the redundant restatement. 4 Bing Crosby Ranch photos (no caption) hand-recomposed to drop internal verification metadata from the alt text."
https://www.sdhardwoods.com/,build/data/index/gallery.json,assets/images/20210326_183656.8995452_std.jpg,,other,"Oak flooring in a La Jolla Shores ocean-view home deep cleaned, de-waxed and recoated without sanding to preserve the existing wear layer. Oak flooring maintained in a multi-level La Jolla Shores home overlooking the ocean. The floor was deep cleaned, de-waxed and recoated without sanding so the existing wear layer and subtle amber tone could be preserved.","Oak flooring maintained in a multi-level La Jolla Shores home overlooking the ocean. The floor was deep cleaned, de-waxed and recoated without sanding so the existing wear layer and subtle amber tone could be preserved.",358,219,"Oak flooring maintained in a multi-level La Jolla Shores home overlooking the ocean. The floor was deep cleaned, de-waxed and recoated without sanding so the existing wear layer and subtle amber tone ",build/data/index/gallery.json,yes,no,"Homepage: merged each image's short base sentence with its already-authoritative, reviewer-refined caption (Milestone 2.7), removing the redundant restatement. 4 Bing Crosby Ranch photos (no caption) hand-recomposed to drop internal verification metadata from the alt text."
